,system:index,classification,Lat,Lon,B2,B3,B4,B8
382,382,5,-1.2101850507461205,36.988248021420205,2194.5,2040.4583333333333,2045.0,1955.125
383,383,1,-1.174717616151291,36.95462310114128,2016.0833333333333,1879.9583333333333,1828.4166666666667,1751.75
384,384,1,-1.2048192376575693,36.93427473699443,1947.8333333333333,1701.5,1589.25,1607.1666666666667
385,385,2,-1.213586444332612,36.96893684935406,2491.3333333333335,2299.8333333333335,2195.0833333333335,2242.0
386,386,1,-1.2203129479405097,36.93111007378118,1713.4166666666667,1566.4166666666667,1509.9166666666667,1470.0833333333333
387,387,5,-1.2183601083992817,36.97242475551867,2293.4166666666665,2104.3333333333335,2068.1666666666665,2004.7916666666667
388,388,2,-1.183626228556176,36.93757890848401,1818.4166666666667,1630.6666666666667,1562.0833333333333,1543.3333333333333
389,389,2,-1.1930889506970268,36.9508714865337,2192.0416666666665,1978.0,1896.25,1890.25
390,390,2,-1.2084541534704845,36.934197101063575,2436.0,2215.4166666666665,2104.0833333333335,2145.0833333333335
391,391,5,-1.207075634745988,36.9567258839952,2780.5833333333335,2251.9583333333335,2089.25,2279.9583333333335
392,392,2,-1.2187185895072077,36.91066970951756,2398.25,2164.4166666666665,2058.0833333333335,2072.5
393,393,1,-1.1917017219396706,36.950803715736136,1937.5833333333333,1717.375,1637.75,1638.25
394,394,2,-1.2042800268302378,36.92412179482548,1948.9166666666667,1772.5,1705.25,1666.5833333333333
395,395,1,-1.173526978057284,36.95770648969922,1541.0,1387.5416666666667,1315.3333333333333,1301.25
396,396,1,-1.2158650187669913,36.97426659043144,2355.25,2187.0,2123.4583333333335,2119.6666666666665
397,397,5,-1.2176721640849435,36.9822531392928,2171.5833333333335,1970.5833333333333,1778.4583333333333,1905.0833333333333
398,398,2,-1.197135763225524,36.96998497839901,2015.8333333333333,1778.0,1686.9583333333333,1658.7083333333333
399,399,2,-1.2032388682293156,36.96215993322853,2045.125,1908.0,1925.5416666666667,1733.4583333333333
400,400,5,-1.2139725191925703,36.98291136748013,2469.5416666666665,2173.9166666666665,2024.9583333333333,2114.25
401,401,2,-1.2086915123245996,36.950324378321255,2013.875,1839.7916666666667,1785.8333333333333,1719.25
402,402,5,-1.1911093738720175,36.9728692474778,1937.25,1750.4166666666667,1667.0416666666667,1622.0
403,403,2,-1.2113735674416042,36.97350154958858,2996.2083333333335,2799.4583333333335,2634.9166666666665,2658.6666666666665
404,404,1,-1.1998910750716318,36.96668704644741,2495.7916666666665,2341.9166666666665,2274.4583333333335,2184.7083333333335
405,405,2,-1.1920089105635527,36.93280050715799,2338.75,2104.3333333333335,2001.6666666666667,2012.5833333333333
406,406,2,-1.2002588815732973,36.933161136223966,2404.0,2215.6666666666665,2120.25,2114.75
407,407,5,-1.2015252225454824,36.93625993183561,2592.0833333333335,2331.3333333333335,2229.5833333333335,2246.9166666666665
408,408,2,-1.2130071980663468,36.95996775867833,1951.625,1704.75,1561.3333333333333,1631.0833333333333
409,409,1,-1.2092528412312613,36.957901329074936,2742.0,2493.875,2338.6666666666665,2410.0416666666665
410,410,5,-1.1723471163523538,36.95714282160768,1647.75,1493.3333333333333,1472.25,1404.2916666666667
411,411,2,-1.194004287187565,36.92328360096204,2527.9166666666665,2287.9166666666665,2120.0833333333335,2203.0
412,412,2,-1.1981947448955443,36.9338140855994,2105.25,1950.4166666666667,1896.9166666666667,1875.0833333333333
413,413,2,-1.216018513363003,36.967268199255045,2181.3333333333335,2004.0,1903.4166666666667,1929.625
